ProductName,ProductCode,ProductCodeType,AverageStar,Description,Reviewer,Review,ReviewStar,ReviewDate
"New Lenovo 130S 11.6"" HD Laptop, Intel Celeron (2 core) N4000 1.1GHz up to 2.6GHz, 4GB Memory, 64GB SSD, Webcam, Bluetooth, HDMI, USB 3.1, Windows 10, Office 365 Personal 1-Year Included",B07S8CGX9X,ASIN,4.1, ,Mountains are Calling,"** Update after 3 trouble free months of use ... I'm thoroughly pleased with this little laptop. Super light , smooth , reasonably good processing speed , battery life and screen quality. At this price point it can't be beat. Is it 5 stars compared to a high end Mac book , gaming PC or Surface ? ... Of course not as those are $1,000 - $2,000. For less than $200 you are getting a lot as long as you have reasonable expectations.",5.0,"August 17, 2019"
"New Lenovo 130S 11.6"" HD Laptop, Intel Celeron (2 core) N4000 1.1GHz up to 2.6GHz, 4GB Memory, 64GB SSD, Webcam, Bluetooth, HDMI, USB 3.1, Windows 10, Office 365 Personal 1-Year Included",B07S8CGX9X,ASIN,4.1, ,Jared Powell,The only reason I bought this product is because it said it ran on windows 10. The laptop I got runs on windows 10 in S mode. Very upset.,3.0,"July 18, 2019"
"New Lenovo 130S 11.6"" HD Laptop, Intel Celeron (2 core) N4000 1.1GHz up to 2.6GHz, 4GB Memory, 64GB SSD, Webcam, Bluetooth, HDMI, USB 3.1, Windows 10, Office 365 Personal 1-Year Included",B07S8CGX9X,ASIN,4.1, ,Emily Fegan,"I just got it yesterday, so I will update as I go, but so far, it's great. It's fast, it doesn't overheat, the battery capacity is up to standards. I've spent all day testing the limits. The only thing is, I would recommend bringing your own terabyte drive, and insert a micro/regular SD card. It has approx. 56 gigs of space to hold items. I (so far) completely recommend this laptop, for quick and easy access to things you need done. Thanks, Amazon.",5.0,"July 13, 2019"
"New Lenovo 130S 11.6"" HD Laptop, Intel Celeron (2 core) N4000 1.1GHz up to 2.6GHz, 4GB Memory, 64GB SSD, Webcam, Bluetooth, HDMI, USB 3.1, Windows 10, Office 365 Personal 1-Year Included",B07S8CGX9X,ASIN,4.1, ,Elizabeth Faye,"This is a really nice little machine. I was able to set it up and use it quickly. One recommendation I have is to consider taking the operating system out of S mode if you want to install apps or have more control. It does give you this option but you'd need to consider a security program in this case. It's extremely lightweight, fast and just a nice reliable machine.",5.0,"July 27, 2019"
"New Lenovo 130S 11.6"" HD Laptop, Intel Celeron (2 core) N4000 1.1GHz up to 2.6GHz, 4GB Memory, 64GB SSD, Webcam, Bluetooth, HDMI, USB 3.1, Windows 10, Office 365 Personal 1-Year Included",B07S8CGX9X,ASIN,4.1, ,X. L.,"In the past 5 years I was looking for a lightweight portable windows PC, either a pad or small size laptop. I bought one 11 inch S*** brand i3 laptop and it's motherboard was burned very soon, and I tried a C*** brand 10.1 inch 4G / 64G nice windows pad, but it's battery or charging system stopped working within a half year.",5.0,"August 24, 2019"
"New Lenovo 130S 11.6"" HD Laptop, Intel Celeron (2 core) N4000 1.1GHz up to 2.6GHz, 4GB Memory, 64GB SSD, Webcam, Bluetooth, HDMI, USB 3.1, Windows 10, Office 365 Personal 1-Year Included",B07S8CGX9X,ASIN,4.1, ,Austyn,"Do yourself a favor and save up and buy a more higher quality laptop please. I just opened less than four hours ago and it’s awful. It’s already overheating. It’s super super slow. It restarts itself. Half of the preinstalled programs respond well, let alone the ones you’d install yourself. Just awful.",1.0,"September 1, 2019"
"New Lenovo 130S 11.6"" HD Laptop, Intel Celeron (2 core) N4000 1.1GHz up to 2.6GHz, 4GB Memory, 64GB SSD, Webcam, Bluetooth, HDMI, USB 3.1, Windows 10, Office 365 Personal 1-Year Included",B07S8CGX9X,ASIN,4.1, ,Joanne Wilkeyson,"I needed a backup for my main system that runs windows 10. First thing a did was dump windows 10s and added 128gig micro SD card. Not the fastest tool on the planet, but it does everything I need. Would be great for school or a beginner.",5.0,"July 22, 2019"
"New Lenovo 130S 11.6"" HD Laptop, Intel Celeron (2 core) N4000 1.1GHz up to 2.6GHz, 4GB Memory, 64GB SSD, Webcam, Bluetooth, HDMI, USB 3.1, Windows 10, Office 365 Personal 1-Year Included",B07S8CGX9X,ASIN,4.1, ,MikeCleveland,"A nice size and weight for traveling, and the keyboard fits my fingers just fine. No problem at all configuring it to my needs.",5.0,"August 9, 2019"
"New Lenovo 130S 11.6"" HD Laptop, Intel Celeron (2 core) N4000 1.1GHz up to 2.6GHz, 4GB Memory, 64GB SSD, Webcam, Bluetooth, HDMI, USB 3.1, Windows 10, Office 365 Personal 1-Year Included",B07S8CGX9X,ASIN,4.1, ,Ned Ryerson,"Very handy little work computer. For $160 I could break or lose it and not cry too much. Very lightweight, not a lot of power under the hood but still a great value.",5.0,"October 28, 2019"
"New Lenovo 130S 11.6"" HD Laptop, Intel Celeron (2 core) N4000 1.1GHz up to 2.6GHz, 4GB Memory, 64GB SSD, Webcam, Bluetooth, HDMI, USB 3.1, Windows 10, Office 365 Personal 1-Year Included",B07S8CGX9X,ASIN,4.1, ,CDickens,"I ordered this laptop because it offers MSOffice 365 for one year, however, when I try to download the app, it is asking to pay, that's why of my 2 star rating, since it is not true what vendor offers or advertises.",2.0,"September 4, 2019"
"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L",B07RF1XD36,ASIN,4.4,"Acer Aspire 5 A515-43-R19L comes with these high level specs: AMD Ryzen 3 3200U Dual-Core Processor 2.6GHz with Precision Boost up to 3.5GHz (Up to 4MB L3 Cache), Windows 10 in S mode, 15.6"" Full HD (1920 x 1080) widescreen LED-backlit IPS Display, AMD Radeon Vega 3 Mobile Graphics, 4GB DDR4 Memory, 128GB PCIe NVMe SSD, True Harmony Technology, Two Built-in Stereo Speakers, Acer Purified.Voice Technology with Two Built-in Microphones, 802.11ac WiFi featuring 2x2 MIMO technology (Dual-Band 2.4GHz and 5GHz), 10/100/1000 Gigabit Ethernet LAN (RJ-45 port), Bluetooth 4.0, Back-lit Keyboard, HD Webcam (1280 x 720), 1 - USB 3.1 Gen 1 Port, 2 - USB 2.0 Ports, 1 - HDMI Port with HDCP support, Lithium-Ion Battery, Up to 7.5-hours Battery Life, 3.97 lbs. | 1.8 kg (system unit only) (NX.HG8AA.001)
				    	
			    	",Sadie Parker,"I could sit here and write all about the specs on this computer, but they are already in the description, and If you are like me... you don't really understand it anyways.",5.0,"June 25, 2019"
"Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 81HY0000US, Blizzard White",B07GM2J11Q,ASIN,4.3,"Faster, simpler, and more secure, the Lenovo Chromebook C330 brings the latest Chromebook features to you in a sleek, stylish, and durable Blizzard White convertible design. With its seamless Integration with all your Google accounts, this notebook is built for collaboration – among family, in the classroom, or at the office. Offering the latest multimedia in high-definition, this convertible Chromebook features a 10-point touchscreen IPS display for easy viewing in tent, tablet, stand, or laptop mode. You'll enjoy the latest streaming show anywhere you want to watch. Never slowing down and always up to date, The Lenovo Chromebook C330 offers the latest in digital security while delivering perfect day-to-day performance. Virus protection is built in, and your computer will update about every six weeks, when you have an internet connection. You'll get the latest operating system updates automatically, so there's no need to worry about keeping your software up to date. Part laptop and part tablet, This Lenovo Chromebook is perfect for a straight-forward PC to use at home, college students looking for a quick and lightweight solution for taking notes and streaming videos, or the busy on-the-go professional who needs access to all of those shared documents. What's more, you can enjoy the best Google has to offer, standard on your Chromebook, with access to a variety of Google play store apps. The Chromebook C330 delivers powerful processing with integrated graphics, em storage, and DDR3 memory – all with up to 10 hours of battery life. At only 2. 64 lbs. , It won't weigh you down.
				    	
			    	",Hngo,"For the price, this is a great Chromebook. It checks a lot of boxes and I've done my fair share of research.",5.0,"October 23, 2018"
