beer,beeradvocate_score,beeradvocate_style,beeradvocate_abv,ratebeer_score,untappd_abv,untappd_ibu,untappd_rating
Abomination Anthrohophagus,,,,95,8.6% ABV,No IBU,4.04
Abomination Midnight Snack,,,,94,12.4% ABV,16 IBU,4
Abomination Bro Beer,n/a,New England IPA,4.7%,70,4.7% ABV,No IBU,3.55
Abomination Hop Thing,88,New England IPA,6.9%,N/A,6.9% ABV,No IBU,3.59
Abomination Only Hell,89,New England IPA,7.2%,92,7.2% ABV,No IBU,3.94
Abomination Rotting Earth,,,,89,9.3% ABV,No IBU,4.03
Ace Pineapple Cider,,,,37,5% ABV,No IBU,3.77
Ace Berry Rose',,,,29,5.5% ABV,No IBU,3.59
Abomination Uralyi,,,,,6.3% ABV,No IBU,3.9
Ace Pear Cider,,,,18,5% ABV,No IBU,3.66
Ace Space Blood Orange,,,,48,6.9% ABV,No IBU,3.77
Ace Joker,,,,22,6.9% ABV,No IBU,3.27
Against the Grain 70K,,,,99,13.1% ABV,48 IBU,4.24
Against the Grain Johann Paycheque,,,,79,6.5% ABV,No IBU,3.74
Against the Grain Herbie Samplecock,n/a,Belgian Saison,7%,91,7% ABV,17 IBU,3.66
Allagash Curieux,,,,97,10.4% ABV,27 IBU,4.05
Against the Grain Kamen Knudde,85,American Wild Ale,6.5%,74,6.5% ABV,No IBU,3.54
Allagash Farm to Face,97,American Wild Ale,5.7%,98,6.3% ABV,No IBU,4.28
Allagash Ganache,91,Belgian Dark Ale,7.2%,92,7.5% ABV,No IBU,3.96
Allagash I Believe in Love,n/a,American Wild Ale,7.5%,N/A,6% ABV,No IBU,4.05
Allagash Nancy,95,American Wild Ale,6.3%,98,5.7% ABV,No IBU,4.15
Allagash Pick Your Own,96,American Wild Ale,6.4%,99,6% ABV,No IBU,4.26
Allagash Truepenny Pilsner,,,,86,5.5% ABV,No IBU,3.8
Allagash White,93,Belgian Witbier,5.1%,89,5.2% ABV,13 IBU,3.76
Almaza Almaza,,,,2,4.2% ABV,20 IBU,2.95
Almond 22 Pink IPA,80,English India Pale Ale (IPA),6.2%,85,6% ABV,45 IBU,3.55
Allagash River Trip,88,Belgian Pale Ale,4.8%,81,4.8% ABV,No IBU,3.61
Anderson Valley Barney Flats,91,English Oatmeal Stout,5.8%,93,6.9% ABV,14 IBU,3.87
Anderson Valley Black Rice Ale,84,American Brown Ale,3.8%,40,3.8% ABV,18 IBU,3.4
Anderson Valley Boont Amber,,,,76,5.8% ABV,15 IBU,3.52
Anderson Valley Blood Orange Gose,89,Leipzig Gose,4.2%,83,4.2% ABV,12 IBU,3.71
Anderson Valley Chai Solstice,83,Herb and Spice Beer,6.9%,53,6.9% ABV,15 IBU,3.52
Anderson Valley Cherry Gose,87,Leipzig Gose,4.2%,49,4.2% ABV,12 IBU,3.64
Anderson Valley Hibiscus Roselle,n/a,Fruit and Field Beer,5.5%,N/A,5.5% ABV,No IBU,3.47
Anderson Valley Wild Turkey Old Fashioned,,,,,8.3% ABV,45 IBU,3.82
Anderson Valley Hop Ottin IPA,90,American IPA,7%,93,7% ABV,80 IBU,3.56
Anderson Valley Winter Solstice,87,Winter Warmer,6.9%,81,6.9% ABV,5 IBU,3.64
Arches Mystik Bock,,,,N/A,7.2% ABV,28 IBU,3.73
Arches Queens Weiss,82,German Hefeweizen,5%,45,5.2% ABV,12 IBU,3.66
Arches Winters Night Dunkel,,,,,5.4% ABV,18 IBU,3.77
Arches Southern Bel,83,Belgian Pale Ale,6.2%,88,6.8% ABV,23 IBU,3.62
Avery Raspberry Sour,93,American Wild Ale,6.5%,97,5.8% ABV,No IBU,4
Arches Southside Lager,82,American Amber / Red Lager,5.4%,76,5.4% ABV,22 IBU,3.6
Avery Vanilla Bean Stout,,,,98,10.5% ABV,50 IBU,4.06
Avery Double Digit Hazy IPA,,,,,10% ABV,No IBU,3.9
Avery El Gose,,,,48,4.5% ABV,13 IBU,3.48
Avery Tequilacerbus,92,American Wild Ale,7.3%,97,7.35% ABV,No IBU,4.12
Avery Ellies Brown,87,American Brown Ale,5.5%,79,5.5% ABV,28 IBU,3.61
Avery Lilikoi Kepolo,90,Belgian Witbier,5.6%,92,5.4% ABV,10 IBU,3.75
Avery Reverend,,,,88,10% ABV,24 IBU,3.94
Avery Maharaja,,,,99,10% ABV,102 IBU,4.04
Avery Pacer IPA,87,New England IPA,4.5%,N/A,4.5% ABV,No IBU,3.47
Avery White Rascal,83,Belgian Witbier,5.6%,52,5.6% ABV,22 IBU,3.62
Ayinger Altbairisch Dunkel,,,,89,5% ABV,21 IBU,3.69
Ayinger UR Weisse,,,,94,5.8% ABV,13 IBU,3.76
Ayinger Jahrhundert,89,European Export / Dortmunder,5.5%,67,5.5% ABV,22 IBU,3.58
Ayinger Brau-Weisse,,,,,5.1% ABV,13 IBU,3.73
Ayinger Bavarian Pils,,,,,5.3% ABV,32 IBU,3.53
Ayinger Celebrator Doppelbock,,,,99,6.7% ABV,24 IBU,3.79
Bahnhof Leipziger Gose,,,,71,4.5% ABV,12 IBU,3.65
Baladin Sidro,,,,49,5% ABV,No IBU,3.59
Baladin Wayan,,,,73,5.8% ABV,10 IBU,3.58
B Nektar Zombie Killer Cider,,,,,5.5% ABV,No IBU,3.94
Baladin Isaac,,,,53,5% ABV,10 IBU,3.51
Baladin Leon,,,,84,9% ABV,24 IBU,3.67
Baladin Nazionale,83,Belgian Pale Ale,6.5%,74,6.5% ABV,32 IBU,3.48
Baltika Porter,,,,79,7% ABV,24 IBU,3.47
Baltika Export,72,European Export / Dortmunder,5.4%,4,5.4% ABV,No IBU,3.02
Bavik Super Pils,78,Bohemian Pilsener,5.2%,11,5.2% ABV,22 IBU,3.31
Beacon Advice From a Caterpillar,,,,N/A,No ABV,No IBU,3.63
Beacon Crushable,n/a,American Lager,4.7%,N/A,4.7% ABV,No IBU,3.43
Beacon Holy Kveik,n/a,American Imperial IPA,7.77%,N/A,7.7% ABV,No IBU,3.54
Beacon Sweater Weather,,,,N/A,6% ABV,No IBU,3.62
Beerlao Dark Lager,,,,,6.5% ABV,No IBU,3.22
Beerlao Lager,,,,3,5% ABV,No IBU,2.99
Beacon Styrian Wolf,n/a,American Lager,4.7%,N/A,4.7% ABV,No IBU,3.55
Bells 2-Hearted,,,,,7% ABV,No IBU,3.96
Bells Amber Ale,,,,75,5.8% ABV,No IBU,3.59
Bells Bright White Ale,,,,70,5% ABV,21 IBU,3.6
Bells Kalamazoo Stout,,,,99,6% ABV,No IBU,3.75
Bells Expedition Stout,,,,100,10.5% ABV,No IBU,4.05
Bells Lager of the Lakes,83,Bohemian Pilsener,5%,39,5% ABV,No IBU,3.46
Bells Porter,,,,95,5.6% ABV,33 IBU,3.73
Bells Official Hazy IPA,87,New England IPA,6.4%,,6.4% ABV,No IBU,3.79
Bells Prairie Grass Dividing,88,Leipzig Gose,4.5%,89,4.5% ABV,8 IBU,3.77
Bells Song of the Open Road,86,Winter Warmer,8.5%,91,8.5% ABV,35 IBU,3.64
BFM St Bon-Chien Grand Cru,,,,N/A,11% ABV,11 IBU,3.98
Black Sheep Monty Python,,,,22,4% ABV,No IBU,3.31
Boon Gueze Mariage Parfait,,,,97,8% ABV,No IBU,3.86
Boon Oude Geuze,,,,92,7% ABV,No IBU,3.49
Boon Vat 79 Oude Geuze,,,,98,9% ABV,No IBU,4.08
Boon Kriek Marriage Parfait,,,,99,8% ABV,No IBU,3.89
Boon Vat 92 Oude Geuze,,,,98,8% ABV,No IBU,4.03
Boon Geuze Black Label,,,,99,7% ABV,10 IBU,4.03
BrewDog Dog Elvis Juice,,,,,6.5% ABV,40 IBU,3.77
BrewDog Dog Hazy Jane,,,,,7.2% ABV,30 IBU,3.87
Brewdog NITRO Choco Libre,,,,N/A,8.2% ABV,25 IBU,3.83
BrewDog Dog Pulp Patriot,,,,,9.5% ABV,10 IBU,3.85
Bull City Rhize Up Cider,,,,0,6% ABV,No IBU,3.67
Burnt Hickory Cannon Dragger,90,American IPA,8%,93,7.5% ABV,100 IBU,3.84
Burnt Hickory Didjits IPA,n/a,American IPA,7%,,7% ABV,50 IBU,3.89
Burnt Hickory Drivin N Cryin IPA,,,,,5.5% ABV,40 IBU,3.79
Burnt Hickory Ezekiels Wheel,89,American Pale Ale (APA),6.5%,90,6.3% ABV,45 IBU,3.81
Burnt Hickory Ginger Dead Man,,,,N/A,8% ABV,No IBU,3.56
Burnt Hickory Revival Pilsner,,,,,5% ABV,30 IBU,3.53
Burnt Hickory Big Shanty,,,,80,9% ABV,20 IBU,3.95
Burnt Hickory Old Wooden Head,92,American Imperial IPA,10%,90,10.5% ABV,100 IBU,3.95
Cantus Caeli,83,Fruit and Field Beer,10.5%,27,10.5% ABV,No IBU,3.5
Cascade Apricot Sour Ale,,,,,8.3% ABV,No IBU,4.34
Cascade Brunch Line,n/a,Fruit and Field Beer,9.6%,90,9.6% ABV,No IBU,4.02
Cascade Cuvee du Jongleur,92,American Wild Ale,8.41%,96,9.4% ABV,No IBU,4.23
Cascade Garden Party,n/a,American Wild Ale,9.6%,90,9.8% ABV,No IBU,3.98
Cascade Kriek Sour Ale,83,Herb and Spice Beer,7%,,7.1% ABV,No IBU,4.24
Cascade Pistil Whipped,n/a,American Wild Ale,7.7%,N/A,7.6% ABV,No IBU,4.06
Cascade Primordial Noir,90,American Wild Ale,10.5%,96,10.5% ABV,No IBU,4.23
Cascade Blackcap Raspberry,,,,98,7.63% ABV,No IBU,4.15
Cascade Blueberry Sour,,,,N/A,7.6% ABV,No IBU,3.62
Cascade Vlad the Imp Aler,95,American Wild Ale,12.3%,99,10.3% ABV,No IBU,4.19
Cascade Rose City Sour,92,American Wild Ale,6.8%,95,8% ABV,No IBU,3.98
Cascade Crazy Navel,91,American Wild Ale,7.2%,96,7.6% ABV,No IBU,4.07
Cascade Elderberry,,,,96,7.75% ABV,No IBU,3.96
Cascade Kentucky Peach,96,American Wild Ale,8.3%,98,9.2% ABV,No IBU,4.29
Cascade Midnight Bramble,92,American Wild Ale,6.6%,98,6.6% ABV,No IBU,4.16
Cascade One Way or Another,91,American Wild Ale,7.9%,98,7.7% ABV,No IBU,4.09
Cascade Sang du Chene,92,American Wild Ale,8.3%,97,9.7% ABV,No IBU,4.14
Cascade Peche Fume,n/a,American Wild Ale,7.2%,N/A,7.2% ABV,No IBU,4.08
Cascade Sang Noir,,,,N/A,10.1% ABV,No IBU,4.27
Cascade Sang Royal,,,,99,10.1% ABV,No IBU,4.15
Cascade Vine,,,,98,8.3% ABV,No IBU,4.07
Chocarrubica,83,English Oatmeal Stout,7%,66,7% ABV,No IBU,3.65
Cascade Vitis Noble,90,American Wild Ale,9.1%,95,9.1% ABV,No IBU,4.03
Cigar City Jai Alai IPA,,,,75,7.5% ABV,70 IBU,3.96
Cigar City Florida Man IPA,n/a,American Imperial IPA,9.2%,,9.2% ABV,90 IBU,3.96
Cigar City Lager,,,,58,4.5% ABV,22 IBU,3.51
Cigar City Maduro Brown Ale,,,,90,5.5% ABV,25 IBU,3.78
Cigar City Guayabera Pale Ale,91,American Pale Ale (APA),5.5%,93,5.5% ABV,No IBU,3.8
Cigar City Margarita Gose,91,Leipzig Gose,4.5%,60,4.2% ABV,5 IBU,3.56
Classic City Lager,,,,52,4.2% ABV,20 IBU,3.56
Cigar City Tocobaga Red Ale,,,,95,7.2% ABV,75 IBU,3.78
Coastal Empire BA Savannah Brown,,,,69,9% ABV,55 IBU,3.7
Coastal Empire Blood Orange Citrus Breeze,n/a,Fruit and Field Beer,5.2%,N/A,5.2% ABV,No IBU,3.47
Coastal Empire Coco Pina Gose,87,Leipzig Gose,4%,62,3.8% ABV,8 IBU,3.65
Coastal Empire Keller's Milk Stout,,,,N/A,5.5% ABV,26 IBU,3.74
Coastal Empire Inshore Slam,84,American IPA,6.8%,48,6.8% ABV,75 IBU,3.58
Coastal Empire Southern Delight,82,American Amber / Red Ale,5.2%,44,5.2% ABV,No IBU,3.64
Coastal Empire Savannah Brown,,,,54,6% ABV,55 IBU,3.43
Coastal Empire Tybee Blonde,78,German Kölsch,4.7%,40,4.7% ABV,No IBU,3.34
Coopers Extra Stout,87,Foreign / Export Stout,6.3%,84,6.3% ABV,41 IBU,3.46
Coopers Pale Ale,,,,N/A,4.5% ABV,24 IBU,3.2
Creature Comforts Always a Pleasure,,,,N/A,6% ABV,No IBU,3.79
Coopers Sparkling Ale,81,English Pale Ale,5.8%,33,5.8% ABV,35 IBU,3.21
Creature Comforts Common Things,n/a,Belgian Saison,6.2%,81,6.2% ABV,No IBU,3.74
Creature Comforts Dayspring,88,Belgian Saison,4.8%,92,5.3% ABV,No IBU,3.53
Creature Comforts Athena,,,,89,4.5% ABV,No IBU,3.8
Creature Comforts Athena Paradiso CRC,,,,,4.5% ABV,No IBU,4.14
Creature Comforts Bibo Pils,,,,,4.9% ABV,25 IBU,3.59
Creature Comforts Cosmik Debris,,,,98,8% ABV,80 IBU,4.19
Creature Comforts Reclaimed Rye,,,,73,5.5% ABV,25 IBU,3.73
Creature Comforts Get Comfortable,,,,N/A,6.6% ABV,No IBU,3.87
Crooked Stave L'Brett d'Blueberry,91,American Wild Ale,6%,96,6% ABV,No IBU,4.03
Crooked Stave Origins,,,,98,6.5% ABV,No IBU,4.17
Crooked Stave Salvador Cybies,,,,96,9% ABV,No IBU,4.11
Crooked Stave Sour Rose',,,,91,4.5% ABV,No IBU,3.93
Crooked Stave St Bretta,,,,97,5.5% ABV,No IBU,3.92
De Dolle Oeral,85,Belgian Pale Ale,6%,89,6% ABV,No IBU,3.66
Decadent Apple Crumb,n/a,New England IPA,8.6%,N/A,8.6% ABV,47 IBU,3.62
Decadent Elderflower Mochi,91,New England IPA,8.6%,N/A,8.6% ABV,No IBU,3.82
Decadent Orange Cream Pop,,,,61,6% ABV,60 IBU,3.95
Delirium Noel,,,,93,10% ABV,20 IBU,3.8
Delirium Nocturnum,90,Belgian Strong Dark Ale,8.5%,89,8.5% ABV,26 IBU,3.79
Delirium Red,83,Fruit and Field Beer,8%,38,8% ABV,10 IBU,3.58
Delirium Tremens,93,Belgian Strong Pale Ale,8.5%,92,8.5% ABV,26 IBU,3.89
Dragon Stout,,,,39,11% ABV,31 IBU,4.06
Du Bocq Blanche de Namur,,,,58,4.5% ABV,11 IBU,3.44
Ducato Profondo Rosso,n/a,American Wild Ale,6%,80,6% ABV,No IBU,4.04
Ducato Chimera,86,Belgian Strong Dark Ale,8%,78,8% ABV,No IBU,3.67
Ducato Chrysopolis,,,,89,5% ABV,No IBU,3.94
Ducato Frambozschella,89,Belgian Fruit Lambic,5%,93,5% ABV,No IBU,3.87
Ducato Torrente,,,,56,7% ABV,No IBU,3.74
Ducato Via Emilia,,,,55,5% ABV,No IBU,3.46
Duchesse de Bourgogne Cherry Cherry,,,,,6.8% ABV,No IBU,4.09
Duchesse de Bourgogne,94,Flanders Red Ale,6.2%,96,6% ABV,11 IBU,3.74
Duck Rabbit Baltic Porter,,,,99,9% ABV,No IBU,3.79
Duck Rabbit Amber Ale,78,American Amber / Red Ale,5.5%,36,5.5% ABV,No IBU,3.43
Duck Rabbit Barleywine,87,American Barleywine,11%,90,11% ABV,No IBU,3.64
Duck Rabbit Brown Ale,84,American Brown Ale,5.6%,49,5.6% ABV,No IBU,3.43
Duck Rabbit Milk Stout,,,,88,5.7% ABV,25 IBU,3.77
Echigo Red Ale,77,American Amber / Red Ale,6%,42,5.5% ABV,25 IBU,3.46
Duck Rabbit Wee Heavy,,,,92,8% ABV,No IBU,3.66
Echigo Stout,,,,56,7% ABV,34 IBU,3.59
Echigo Flying IPA,84,American IPA,5.5%,35,5.5% ABV,55 IBU,3.41
Efes Pilsener,,,,3,5% ABV,No IBU,2.91
Founders Brewing Dirty Bastard,,,,,8.5% ABV,50 IBU,3.78
Founders Brewing Civilized Brut IPA,87,American Brut IPA,6%,,6% ABV,45 IBU,3.64
Founders Brewing Solid Gold,81,American Adjunct Lager,4.4%,,4.4% ABV,20 IBU,3.44
Founders Brewing Porter,,,,,6.5% ABV,45 IBU,3.88
Founders Brewing Rubaeus,,,,,5.7% ABV,15 IBU,3.73
Founders Brewing Backwoods Bastard,,,,,11% ABV,50 IBU,4.12
Founders Brewing Breakfast Stout,,,,,8.3% ABV,60 IBU,4.14
Free Thought Kismet,,,,N/A,7% ABV,No IBU,3.62
Free Thought Museum Dose,,,,N/A,6% ABV,No IBU,3.14
Free Thought Open,,,,86,6% ABV,No IBU,4.02
Free Thought Levitate,,,,N/A,5% ABV,No IBU,3.83
Free Thought Principia,,,,N/A,6% ABV,No IBU,3.88
Friska,,,,57,5% ABV,No IBU,3.52
Free Thought Temporal,,,,N/A,5% ABV,No IBU,3.74
Girardin Gueuze,,,,99,5% ABV,No IBU,4.01
Ginga Kogen Geer,,,,70,5% ABV,No IBU,3.47
Gigantic Hellboy Blood Queen,n/a,Leipzig Gose,6.66%,N/A,6.66% ABV,No IBU,3.48
Glutenberg Pale Ale,,,,42,6% ABV,76 IBU,3.17
Glutenberg Blonde,72,American Blonde Ale,4.5%,7,4.5% ABV,15 IBU,2.96
Glutenberg Red,80,American Amber / Red Ale,5%,24,5% ABV,24 IBU,3.03
Glutenberg Stout,,,,34,5% ABV,40 IBU,3.32
Glutenberg White,80,Belgian Witbier,5%,41,5% ABV,13 IBU,3.09
